Date,Day of week,Week of year,北海道D,東北D,東京D,中部D,北陸D,関西D,中国D,四国D,九州D,沖縄D,１０エリア計
2024/1/1 0:00,Saturday,1,3811,7471,24024,9991,2465.4,11820.484,5159.022,2290,7918,654.3,75604.206
2024/1/1 1:00,Saturday,1,3917,7515,22864,9710,2511.7,11405.202,5095.733,2292,7796,633.6,73740.235
2024/1/1 2:00,Saturday,1,4019,7659,22433,9807,2678.1,11581.15,5283.915,2440,8129,643.2,74673.365
2024/1/1 3:00,Saturday,1,4102,7857,22292,9948,2824,11709.293,5670.733,2589,8489,667.5,76148.526
2024/1/1 4:00,Saturday,1,4118,7991,22294,9937,2848.5,11598.002,5766.22,2638,8643,669.6,76503.322
2024/1/1 5:00,Saturday,1,4021,7974,22512,9842,2714.8,11249.289,5631.403,2545,8431,652.8,75573.292
2024/1/1 6:00,Saturday,1,3864,7796,23209,9772,2490.2,11094.319,5406.099,2312,7953,620.4,74517.018
2024/1/1 7:00,Saturday,1,3669,7660,24326,10072,2383.5,11513.027,5394.463,2294,7998,625,75934.99
2024/1/1 8:00,Saturday,1,3622,7710,25153,10513,2422.3,12301.712,5503.535,2459,8096,666.8,78447.347
2024/1/1 9:00,Saturday,1,3567,7624,24530,10230,2406.3,12237.044,5074.909,2322,7638,680.544,76309.797
2024/1/1 10:00,Saturday,1,3482,7453,23842,9788,2351.1,11857.735,4628.737,2240,7445,698.738,73786.31
2024/1/1 11:00,Saturday,1,3400,7312,23340,9434,2262.9,11643.34,4514.563,2201,7590,706.043,72403.846
2024/1/1 12:00,Saturday,1,3374,7166,23002,9257,2253.4,11658.83,4567.939,2182,7411,737.645,71609.814
2024/1/1 13:00,Saturday,1,3326,6997,22592,9070,2206.1,11458.452,4523.62,2108,7170,737.199,70188.371
2024/1/1 14:00,Saturday,1,3365,7018,22722,9116,2172.5,11468.435,4402.259,2049,6945,720.194,69978.388
2024/1/1 15:00,Saturday,1,3532,7246,23725,9255,2201.1,11757.554,4578.323,2088,7051,696.842,72130.819
2024/1/1 16:00,Saturday,1,3624,7778,25447,9781,2127.7,12269.911,4955.065,2233,7430,697.152,76342.828
2024/1/1 17:00,Saturday,1,3760,8435,28145,11142,2251,13621.914,5538.786,2527,8364,708.9,84493.6
2024/1/1 18:00,Saturday,1,3773,8453,28887,11435,2354.7,13983.044,5763.806,2630,8852,748.6,86880.15
2024/1/1 19:00,Saturday,1,3728,8433,29057,11504,2409,14050.008,5777.219,2620,8896,746.3,87220.527
2024/1/1 20:00,Saturday,1,3739,8371,29074,11540,2456.4,14074.741,5744.612,2625,8923,734.4,87282.153
2024/1/1 21:00,Saturday,1,3731,8206,28637,11334,2454.7,13845.916,5623.962,2548,8769,712.3,85861.878
2024/1/1 22:00,Saturday,1,3646,7900,27479,10832,2464.4,13341.242,5335.453,2420,8546,679.4,82643.495
2024/1/1 23:00,Saturday,1,3750,7955,26442,10607,2499.8,13022.887,5190.462,2380,8315,653.9,80816.049
2024/1/2 0:00,Sunday,2,3703,7749,24730,10022,2470.6,12344.846,5107.303,2324,7917,616.9,76984.649
2024/1/2 1:00,Sunday,2,3818,7878,23838,9778,2515.4,12017.34,5130.42,2374,7896,598.3,75843.46
2024/1/2 2:00,Sunday,2,3957,8123,23631,9948,2695.2,12313.261,5427.114,2582,8272,610.5,77559.075
2024/1/2 3:00,Sunday,2,4040,8288,23561,10153,2792.1,12441.78,5781.291,2743,8713,640,79153.171
2024/1/2 4:00,Sunday,2,4043,8402,23576,10095,2776.8,12216.099,5854.459,2769,8829,650.1,79211.458
2024/1/2 5:00,Sunday,2,3960,8452,24019,10039,2703.2,11955.45,5770.426,2698,8719,636.7,78952.776
2024/1/2 6:00,Sunday,2,3840,8461,25441,10160,2555.7,12198.505,5798.109,2526,8559,610.1,80149.414
2024/1/2 7:00,Sunday,2,3706,8525,27435,10640,2523.2,12994.419,5950.188,2558,8746,627.9,83705.707
2024/1/2 8:00,Sunday,2,3848,8718,29101,11172,2534,13846.475,6118.845,2745,8892,669.8,87645.12
2024/1/2 9:00,Sunday,2,3835,8576,28819,11171,2474.9,13867.025,5482.961,2605,8082,703,85615.886
2024/1/2 10:00,Sunday,2,3811,8163,28616,10864,2377.4,13230.112,4852.461,2389,7726,720.5,82749.473
